year_month,avg_demand_mwh,min_demand_mwh,n_hours,zone
2021-09,1803.4925541130435,999.456654,690,EAST
2021-10,1593.2098605329593,1085.912642,713,EAST
2021-11,1426.3682504869566,1061.594362,690,EAST
2021-12,1465.4736177321179,1037.785431,713,EAST
2022-01,1718.084182551192,1141.13729,713,EAST
2022-02,1814.430187416149,1083.902625,644,EAST
2022-03,1482.9541250224718,1039.378884,712,EAST
2022-04,1453.7614630231883,992.486128,690,EAST
2022-05,1753.4226703408133,1073.55579,713,EAST
2022-06,2068.6758057130432,1203.015319,690,EAST
2022-07,2248.781923997195,1433.239364,713,EAST
2022-08,2093.409161997195,1329.737828,713,EAST
2022-09,1814.3917367826089,1102.238156,690,EAST
2022-10,1499.545237047686,1013.733581,713,EAST
2022-11,1551.3734740347827,1062.10832,690,EAST
2022-12,1688.5869704185393,1096.042199,712,EAST
2023-01,1612.5999621584851,1022.609141,713,EAST
2023-02,1640.3187008928574,1121.507509,644,EAST
2023-03,1440.3290753932586,1054.884583,712,EAST
2023-04,1418.5249510666665,1063.326772,690,EAST
2023-05,1639.586214826087,1085.378383,713,EAST
2023-06,2009.173543631884,1142.759535,690,EAST
2023-07,2233.0793209677418,1464.206422,713,EAST
2023-08,2406.324298880785,1437.51623,713,EAST
2023-09,2013.4971275681162,1227.356144,690,EAST
2023-10,1566.2953991584855,1000.408486,713,EAST
2023-11,1505.4942619753624,1057.328344,690,EAST
2023-12,1564.9305106213183,1086.314578,713,EAST
2024-01,1929.090243152875,1181.589367,713,EAST
2024-02,1522.048239077961,1061.738842,667,EAST
2024-03,1416.8509175042136,1047.921176,712,EAST
2024-04,1491.3929549449276,1042.478032,690,EAST
2024-05,1723.993480377279,1054.770256,713,EAST
2024-06,1988.9993208347826,1214.566854,690,EAST
2024-07,1986.285724251052,1080.706308,713,EAST
2024-08,2200.042299319776,1441.661038,713,EAST
2024-09,1818.2696422246377,1112.679193,690,EAST
2024-10,1688.5192854039271,1078.122017,713,EAST
2024-11,1500.484317578261,1076.667207,690,EAST
2024-12,1560.4616202734924,1032.913534,713,EAST
2025-01,1996.6563591907434,1112.574056,713,EAST
2025-02,1800.5607540698759,1060.112518,644,EAST
2025-03,1468.7618845014044,1087.392619,712,EAST
2025-04,1585.5796222347826,1127.650553,690,EAST
2025-05,1731.0713723029453,1054.633177,713,EAST
2025-06,2005.0332812231884,1210.483848,690,EAST
2025-07,2123.3205455652173,1332.233194,713,EAST
2025-08,2158.4897691697056,1400.615607,713,EAST
2025-09,1961.7860478971015,1220.496009,690,EAST
2025-10,1755.6707985175315,1166.304018,713,EAST
2025-11,1569.240633394203,1143.653044,690,EAST
2025-12,1716.1471579887798,1149.646004,713,EAST
2019-01,3175.6325167952314,2952.098514,713,FWEST
2019-02,3164.655513263975,2879.434726,644,FWEST
2019-03,3135.3851575323033,2871.47503,712,FWEST
2019-04,3127.926803752174,2877.725264,690,FWEST
2019-05,3305.4325737952317,2923.649932,713,FWEST
2019-06,3496.9825624173914,3028.496922,690,FWEST
2019-07,3611.2335892244037,3124.938041,713,FWEST
2019-08,3778.8555946858346,3224.817361,713,FWEST
2019-09,3637.35231295942,3151.529563,690,FWEST
2019-10,3446.9670411514726,3127.644044,713,FWEST
2019-11,3613.0846937971014,3267.684987,690,FWEST
2019-12,3730.077881685834,3331.087627,713,FWEST
2020-01,3783.3290545021036,3545.054494,713,FWEST
2020-02,3803.361513835083,3554.250946,667,FWEST
2020-03,3684.0773964985956,3507.017182,712,FWEST
2020-04,3575.3243656391305,3196.023594,690,FWEST
2020-05,3452.444509643759,2927.85658,713,FWEST
2020-06,3634.072345730435,3088.311253,690,FWEST
2020-07,3902.231864631136,3364.080016,713,FWEST
2020-08,3981.6105340336603,3467.624211,713,FWEST
2020-09,3781.860113473913,3419.417187,690,FWEST
2020-10,3732.440731691445,3440.300553,713,FWEST
2020-11,3555.8802636927535,3285.068128,690,FWEST
2020-12,3756.7446719046284,3472.359573,713,FWEST
2021-01,3861.0533437980366,3583.65,713,FWEST
2021-02,3244.8879268509318,1242.334939,644,FWEST
2021-03,3445.729557230337,2868.408192,712,FWEST
2021-04,3767.5698142884057,3541.276582,690,FWEST
